,geometry,value
114,"LINESTRING (-122.2816425 37.8220207, -122.2811432 37.821911, -122.2811067 37.821903, -122.2805549 37.8217749)",1
115,"LINESTRING (-122.2816425 37.8220207, -122.2816755 37.8219296, -122.2822489 37.8203456, -122.2822724 37.8202807)",1
116,"LINESTRING (-122.2816425 37.8220207, -122.2816122 37.8221038, -122.2814833 37.8224575, -122.281323 37.8228999, -122.2812079 37.8232165, -122.281087 37.823549, -122.2810461 37.8236616, -122.2810332 37.823697, -122.2810069 37.8237694)",1
117,"LINESTRING (-122.2822724 37.8202807, -122.2823893 37.820312, -122.2829334 37.8204374, -122.2833603 37.8205358)",1
118,"LINESTRING (-122.2822724 37.8202807, -122.2821338 37.8202437, -122.2816995 37.8201453, -122.2815643 37.8201141, -122.2811918 37.8200293)",1
119,"LINESTRING (-122.2822724 37.8202807, -122.2823003 37.8202035, -122.2823563 37.8200487, -122.2824548 37.8197763, -122.2827976 37.8188283, -122.2828348 37.8187254)",1
120,"LINESTRING (-122.2822724 37.8202807, -122.2822489 37.8203456, -122.2816755 37.8219296, -122.2816425 37.8220207)",1
121,"LINESTRING (-122.2828348 37.8187254, -122.2839174 37.8189797)",1
122,"LINESTRING (-122.2828348 37.8187254, -122.2817663 37.8184911)",1
123,"LINESTRING (-122.2828348 37.8187254, -122.2828712 37.818625, -122.2828875 37.8185799, -122.2830477 37.8181391, -122.2832161 37.8176687, -122.2833488 37.8173043, -122.2833942 37.8171798)",1
124,"LINESTRING (-122.2828348 37.8187254, -122.2827976 37.8188283, -122.2824548 37.8197763, -122.2823563 37.8200487, -122.2823003 37.8202035, -122.2822724 37.8202807)",1
125,"LINESTRING (-122.2839989 37.8155088, -122.2839581 37.8156164)",1
126,"LINESTRING (-122.2839989 37.8155088, -122.2838788 37.8154812, -122.2837277 37.8154465, -122.2829115 37.8152591, -122.2818295 37.815014)",1
127,"LINESTRING (-122.2839989 37.8155088, -122.2840289 37.815426, -122.2840516 37.8153633, -122.2843673 37.8144895, -122.2843925 37.8144197)",1
128,"LINESTRING (-122.2843925 37.8144197, -122.2832833 37.8142067)",1
129,"LINESTRING (-122.2843925 37.8144197, -122.2847947 37.8133066)",1
130,"LINESTRING (-122.2843925 37.8144197, -122.28451 37.8144461, -122.2855365 37.8146766, -122.2856147 37.8146942, -122.2865489 37.814904)",1
131,"LINESTRING (-122.2843925 37.8144197, -122.2843673 37.8144895, -122.2840516 37.8153633, -122.2840289 37.815426, -122.2839989 37.8155088)",1
132,"LINESTRING (-122.2847947 37.8133066, -122.2843925 37.8144197)",1
133,"LINESTRING (-122.2847947 37.8133066, -122.2849173 37.813334, -122.285479 37.8134595, -122.2856807 37.8135046, -122.2857328 37.8135162, -122.2868942 37.8137757, -122.2869184 37.8137892, -122.2869382 37.8138066, -122.2869518 37.8138362, -122.2869504 37.8138617, -122.2867724 37.8143237, -122.2867594 37.8143574, -122.2865489 37.814904)",1
134,"LINESTRING (-122.2847947 37.8133066, -122.2848038 37.8132814, -122.2848356 37.8131935, -122.2850841 37.8125065, -122.2850978 37.8124686, -122.2851354 37.8123647)",1
135,"LINESTRING (-122.2881861 37.8039333, -122.2882363 37.8037989)",1
136,"LINESTRING (-122.2881861 37.8039333, -122.2881505 37.8040315, -122.2880682 37.8042585, -122.2879792 37.8045037, -122.2879112 37.804691, -122.28788 37.8047819, -122.2878587 37.8048441)",1
137,"LINESTRING (-122.2881861 37.8039333, -122.2883125 37.8039545, -122.2885385 37.8039948, -122.2890022 37.8040776, -122.2891455 37.8041073, -122.2892677 37.8041327, -122.2899225 37.8042774, -122.2903715 37.8043766)",1
138,"LINESTRING (-122.2878587 37.8048441, -122.2879546 37.8048658, -122.2883727 37.8049604, -122.2885444 37.8049993, -122.2890958 37.8051241, -122.2893874 37.8051901, -122.2898748 37.8053004, -122.2900062 37.805347)",1
139,"LINESTRING (-122.2878587 37.8048441, -122.2877658 37.8048229, -122.2867515 37.804591, -122.2866586 37.804569, -122.2855601 37.8043185, -122.2854248 37.8042874, -122.2846462 37.8041084)",1
